time,x,y,z,qx,qy,qz,qw
1756548800.9815238,-0.002184466924518347,-0.0009051135275512934,0.049725376069545746,0.0002569354805886011,-0.029007239619169525,-0.0007418447015663417,0.9995788931846619
1756548801.9815154,-0.0022297922987490892,-0.0008704823558218777,0.049695342779159546,-2.1899584155859818e-05,-0.02937392329543992,-0.0007333577524888084,0.9995682239532471
1756548802.9815805,-0.0022297946270555258,-0.0008704718784429133,0.04969533905386925,-2.194966879730988e-05,-0.029371895786969568,-0.0007333220447806863,0.9995682835578918
1756548803.9815738,-0.0022297895047813654,-0.0008704732754267752,0.04969533905386925,-2.1937100761468746e-05,-0.029373923392655564,-0.0007333527373116953,0.9995682239532471
1756548804.9815955,-0.0022297862451523542,-0.000870471412781626,0.049695346504449844,-2.1947122618096427e-05,-0.02937392311154284,-0.0007333636971432997,0.9995682239532471
1756548805.9816158,-0.0022298020776361227,-0.0008704765932634473,0.049695342779159546,-2.1924648770536736e-05,-0.02937189584746842,-0.0007333203700741468,0.9995682835578918
1756548806.9816313,-0.002229781588539481,-0.0008704751380719244,0.049695346504449844,-2.193196655719899e-05,-0.029373923377022725,-0.0007333535170365777,0.9995682239532471
1756548807.9816918,-0.002229801844805479,-0.0008704764768481255,0.04969533532857895,-2.1922799873087295e-05,-0.02937189590780625,-0.0007333180086172445,0.9995682835578918
1756548808.9816763,-0.0022297983523458242,-0.0008704767096787691,0.04969533160328865,-2.1923481480485398e-05,-0.029371895989200265,-0.0007333147281239717,0.9995682835578918
1756548809.9816988,-0.0022297922987490892,-0.0008704846259206533,0.049695342779159546,-2.190486730742351e-05,-0.02937189638614595,-0.000733299385119304,0.9995682835578918
1756548810.9817195,-0.002229795791208744,-0.0008704772917553782,0.04969533532857895,-2.19340802735395e-05,-0.029373922994078958,-0.0007333687921854558,0.9995682239532471
1756548811.9817433,-0.0022297969553619623,-0.0008704766514711082,0.049695346504449844,-2.192488379895316e-05,-0.029371895519670572,-0.0007333334923130964,0.9995682835578918
1756548812.9817953,-0.0022297955583781004,-0.0008704746724106371,0.04969533905386925,-2.1914561584043747e-05,-0.02937392295749829,-0.0007333708408815095,0.9995682239532471
1756548813.9818141,-0.0022297885734587908,-0.000870483519975096,0.04969533532857895,-2.1898232546643162e-05,-0.02937189634694743,-0.0007333011533537157,0.9995682835578918
1756548814.9817898,-0.0022297895047813654,-0.0008704800857231021,0.04969533905386925,-2.1946141008464907e-05,-0.029373923691184845,-0.0007333405093503526,0.9995682239532471
1756548815.9818218,-0.0022297885734587908,-0.0008704790379852057,0.049695342779159546,-2.194424607391807e-05,-0.029373923891555877,-0.0007333325401593088,0.9995682239532471
1756548816.9818978,-0.00222979043610394,-0.0008704845095053315,0.04969532787799835,-2.189058159283727e-05,-0.029373923196370593,-0.0007333619893808773,0.9995682239532471
1756548817.981868,-0.002229796489700675,-0.0008704776992090046,0.049695342779159546,-2.1929158774773066e-05,-0.029371896043930704,-0.0007333123662162,0.9995682835578918
1756548818.981916,-0.002229796489700675,-0.0008704799111001194,0.049695342779159546,-2.1906664767642985e-05,-0.029373923280296952,-0.0007333581475494086,0.9995682239532471
1756548819.981937,-0.002229787642136216,-0.0008704769425094128,0.04969535022974014,-2.1900020767152474e-05,-0.02937189573017002,-0.0007333258041503318,0.9995682835578918
1756548820.9819582,-0.002229801146313548,-0.000870484218467027,0.049695342779159546,-2.1905251921916424e-05,-0.02937392353549924,-0.0007333479678106724,0.9995682239532471
1756548821.9819734,-0.0022297909017652273,-0.0008704820647835732,0.04969535395503044,-2.1902077959802576e-05,-0.029371896051606894,-0.00073331286808704,0.9995682835578918
1756548822.9819613,-0.0022297913674265146,-0.0008704857900738716,0.049695342779159546,-2.1884474599643733e-05,-0.02937189651867505,-0.0007332946856058177,0.9995682835578918
1756548823.9820168,-0.0022297960240393877,-0.0008704772917553782,0.04969535022974014,-2.191273370973618e-05,-0.02937189637274466,-0.0007332996868762846,0.9995682835578918
1756548824.9820826,-0.0022297974210232496,-0.0008704815991222858,0.04969532787799835,-2.1900812639436486e-05,-0.0293739230208994,-0.0007333687121709751,0.9995682239532471
1756548825.9820673,-0.002229791833087802,-0.0008704813080839813,0.04969533905386925,-2.1941942858672863e-05,-0.02937392370504545,-0.0007333400797871067,0.9995682239532471
1756548826.9820552,-0.002229787176474929,-0.0008704737992957234,0.04969533532857895,-2.1949276163011797e-05,-0.0293739233277933,-0.0007333549710107514,0.9995682239532471
1756548827.982062,-0.002229793230071664,-0.0008704779902473092,0.04969533905386925,-2.1927994230149725e-05,-0.029371895857466662,-0.000733319869582319,0.9995682835578918
1756548828.9821599,-0.002229811856523156,-0.0008704757783561945,0.04969533532857895,-2.1898762439883902e-05,-0.02937392335385345,-0.0007333554373264118,0.9995682239532471
